rep,strain,hours_after_bleach,L1s,L1s_and_eggs,hatching_efficiency
rep1,double,14,38,42,0.904761905
rep1,double,15,19,19,1
rep1,double,16,18,19,0.947368421
rep1,double,17,27,28,0.964285714
rep1,double,18,20,20,1
rep1,daf18,14,46,47,0.978723404
rep1,daf18,15,33,33,1
rep1,daf18,16,29,32,0.90625
rep1,daf18,17,24,25,0.96
rep1,daf18,18,21,21,1
rep1,daf16,14,37,41,0.902439024
rep1,daf16,15,18,20,0.9
rep1,daf16,16,21,22,0.954545455
rep1,daf16,17,20,23,0.869565217
rep1,daf16,18,25,27,0.925925926
rep1,n2,14,53,67,0.791044776
rep1,n2,15,38,42,0.904761905
rep1,n2,16,35,37,0.945945946
rep1,n2,17,38,41,0.926829268
rep1,n2,18,39,42,0.928571429
rep1,n2_new,14,69,79,0.873417722
rep1,n2_new,15,29,34,0.852941176
rep1,n2_new,16,46,52,0.884615385
rep1,n2_new,17,47,49,0.959183673
rep1,n2_new,18,41,47,0.872340426
rep2,double,12,4,16,0.25
rep2,double,13,18,27,0.666666667
rep2,double,14,21,26,0.807692308
rep2,double,15,27,33,0.818181818
rep2,double,16,30,31,0.967741935
rep2,double,17,35,38,0.921052632
rep2,double,18,35,38,0.921052632
rep2,daf18,12,4,14,0.285714286
rep2,daf18,13,6,9,0.666666667
rep2,daf18,14,15,28,0.535714286
rep2,daf18,15,6,9,0.666666667
rep2,daf18,16,6,17,0.352941176
rep2,daf18,17,8,9,0.888888889
rep2,daf18,18,10,13,0.769230769
rep2,daf16,12,4,19,0.210526316
rep2,daf16,13,5,11,0.454545455
rep2,daf16,14,5,9,0.555555556
rep2,daf16,15,16,20,0.8
rep2,daf16,16,7,8,0.875
rep2,daf16,17,11,12,0.916666667
rep2,daf16,18,10,11,0.909090909
rep2,n2,12,6,11,0.545454545
rep2,n2,13,26,31,0.838709677
rep2,n2,14,11,12,0.916666667
rep2,n2,15,12,15,0.8
rep2,n2,16,6,7,0.857142857
rep2,n2,17,21,24,0.875
rep2,n2,18,14,14,1
rep2,n2_new,12,48,80,0.6
rep2,n2_new,13,59,66,0.893939394
rep2,n2_new,14,81,85,0.952941176
rep2,n2_new,15,78,78,1
rep2,n2_new,16,77,78,0.987179487
rep2,n2_new,17,76,77,0.987012987
rep2,n2_new,18,61,62,0.983870968
rep3,double,12,51,69,0.739130435
rep3,double,13,49,61,0.803278689
rep3,double,14,57,68,0.838235294
rep3,double,15,64,75,0.853333333
rep3,double,16,54,62,0.870967742
rep3,double,17,62,66,0.939393939
rep3,double,18,42,47,0.893617021
rep3,daf18,12,61,88,0.693181818
rep3,daf18,13,78,86,0.906976744
rep3,daf18,14,81,86,0.941860465
rep3,daf18,15,58,62,0.935483871
rep3,daf18,16,70,80,0.875
rep3,daf18,17,77,78,0.987179487
rep3,daf18,18,69,76,0.907894737
rep3,daf16,12,19,36,0.527777778
rep3,daf16,13,20,29,0.689655172
rep3,daf16,14,27,30,0.9
rep3,daf16,15,31,36,0.861111111
rep3,daf16,16,37,42,0.880952381
rep3,daf16,17,33,34,0.970588235
rep3,daf16,18,32,39,0.820512821
rep3,n2,12,15,40,0.375
rep3,n2,13,23,26,0.884615385
rep3,n2,14,37,39,0.948717949
rep3,n2,15,42,48,0.875
rep3,n2,16,37,37,1
rep3,n2,17,36,36,1
rep3,n2,18,33,34,0.970588235
rep3,n2_new,12,11,16,0.6875
rep3,n2_new,13,16,18,0.888888889
rep3,n2_new,14,20,26,0.769230769
rep3,n2_new,15,17,17,1
rep3,n2_new,16,13,15,0.866666667
rep3,n2_new,17,19,19,1
rep3,n2_new,18,18,19,0.947368421
rep4,double,12,14,20,0.7
rep4,double,13,37,42,0.880952381
rep4,double,14,19,21,0.904761905
rep4,double,15,24,26,0.923076923
rep4,double,16,17,17,1
rep4,double,17,25,29,0.862068966
rep4,double,18,14,14,1
rep4,daf18,12,11,29,0.379310345
rep4,daf18,13,10,14,0.714285714
rep4,daf18,14,11,18,0.611111111
rep4,daf18,15,14,19,0.736842105
rep4,daf18,16,11,14,0.785714286
rep4,daf18,17,5,6,0.833333333
rep4,daf18,18,7,8,0.875
rep4,daf16,12,33,48,0.6875
rep4,daf16,13,46,53,0.867924528
rep4,daf16,14,37,42,0.880952381
rep4,daf16,15,36,43,0.837209302
rep4,daf16,16,62,62,1
rep4,daf16,17,49,51,0.960784314
rep4,daf16,18,52,56,0.928571429
rep4,n2,12,85,108,0.787037037
rep4,n2,13,49,53,0.924528302
rep4,n2,14,36,41,0.87804878
rep4,n2,15,40,41,0.975609756
rep4,n2,16,34,35,0.971428571
rep4,n2,17,42,43,0.976744186
rep4,n2,18,34,34,1
rep4,n2_new,12,24,43,0.558139535
rep4,n2_new,13,47,58,0.810344828
rep4,n2_new,14,27,29,0.931034483
rep4,n2_new,15,25,29,0.862068966
rep4,n2_new,16,36,39,0.923076923
rep4,n2_new,17,37,41,0.902439024
rep4,n2_new,18,30,32,0.9375
